Territory                            First Exchange (UTC)  Last Exchange (UTC)  Exchanges
Legendary Island                     2018-01-10 18:53:08  2026-02-27 03:32:57     7032
Lexdale                              2018-01-13 10:46:55  2026-02-26 19:59:46     3290
Lexdale Penitentiary                 2024-08-27 11:51:50  2026-02-26 20:53:01      730
Lexdales Prison                      2018-01-04 10:27:04  2024-08-22 07:10:22     1757
Lifeless Forest                      2024-08-26 13:41:09  2026-02-26 13:47:11      406
Light Forest Canyon                  2018-01-03 20:56:46  2024-08-26 02:31:54    28702
Light Forest East Lower              2018-01-04 12:30:48  2024-08-26 03:06:22    30934
Light Forest East Mid                2018-01-03 20:41:40  2024-08-26 02:45:46    19497
Light Forest East Upper              2018-01-03 21:50:39  2024-08-26 03:11:16     7394
Light Forest Entrance                2018-01-03 21:45:06  2024-08-24 19:27:58     4530
Light Forest North Entrance          2018-01-03 21:53:56  2024-08-26 02:57:00     4489
Light Forest North Exit              2018-01-03 21:17:52  2024-08-26 03:46:08    15902
Light Forest South Entrance          2018-01-04 10:54:48  2024-08-26 00:12:08     4479
Light Forest South Exit              2018-01-04 15:47:11  2024-08-21 12:12:30    15793
Light Forest West Lower              2018-01-04 23:38:20  2024-08-26 00:25:32     4974
Light Forest West Mid                2018-01-04 18:57:03  2024-08-26 03:05:15    30243
Light Forest West Upper              2018-01-04 18:48:04  2024-08-26 02:50:17    19553
Light Peninsula                      2021-02-10 13:11:07  2026-02-25 13:49:41     2427
Light Realm Corruption               2018-01-18 02:13:06  2020-12-26 16:15:47      554
Light Realm East                     2018-01-12 10:10:55  2020-12-26 15:58:07      532
Light Realm East Lower               2018-01-12 09:43:45  2020-12-26 15:52:06      589
Light Realm East Mid                 2018-01-12 13:45:12  2020-12-26 15:46:02      647
Light Realm East Mid-Upper           2018-01-10 21:31:17  2020-12-30 09:47:47      655
Light Realm East Upper               2018-01-15 22:46:50  2021-01-17 16:22:13      677
Light Realm Entrance                 2018-01-11 22:45:19  2021-01-17 16:18:49      953
Light Realm Entrance Upper           2018-01-10 21:56:23  2021-01-05 10:25:39      711
Light Realm Mushrooms                2018-01-18 02:43:04  2020-12-26 16:10:16      516
Lighthouse Lookout                   2024-08-26 09:50:22  2026-02-25 22:21:10     2454
Lighthouse Plateau                   2018-10-30 06:32:10  2024-08-26 01:58:33     4505
Lion Lair                            2018-02-03 18:48:50  2026-02-26 14:36:56     5375
Little Wood                          2018-01-05 08:33:02  2026-02-26 23:16:26     5737
Lizardman Camp                       2024-08-27 22:29:38  2026-02-26 16:29:46     2185
Lizardman Lake                       2024-08-27 23:11:08  2026-02-26 16:20:57     2217
Llevigar                             2018-02-08 21:40:13  2026-02-25 20:40:16     6736
Llevigar Entrance                    2018-01-24 23:45:27  2024-08-26 03:51:59     3291
Llevigar Farm                        2018-01-24 06:33:03  2026-02-25 20:30:03     3259
Llevigar Farm Plains East            2018-01-04 23:22:26  2024-08-26 02:33:35     3084
Llevigar Farm Plains West            2018-01-06 11:59:09  2024-08-26 01:17:39     2623
Llevigar Gate                        2024-08-28 00:39:14  2026-02-25 20:44:01     1679
Llevigar Gate East                   2018-01-05 13:38:54  2024-08-26 02:43:29     4255
Llevigar Gate West                   2018-01-08 00:21:33  2024-08-26 02:48:47     2985
Llevigar Plains East Lower           2018-01-20 04:42:33  2024-08-26 01:21:39     2547
Llevigar Plains East Upper           2018-01-04 00:35:36  2024-08-26 02:14:40     2196
Llevigar Plains West Lower           2018-01-04 00:17:22  2024-08-26 01:23:26     2564
Llevigar Plains West Upper           2018-01-04 00:27:55  2024-08-26 02:15:47     2036
Llevigar Stables                     2024-08-28 00:28:52  2026-02-25 20:41:38     1488
Loamsprout Camp                      2021-01-21 02:59:09  2024-08-26 02:44:56     1894
Loamsprout Orc Camp                  2024-08-27 17:41:07  2026-02-25 18:48:29     1476
Lone Farmstead                       2018-01-04 03:17:49  2024-08-26 03:17:26     2598
Lost Atoll                           2018-10-30 01:47:49  2026-02-25 13:46:40     2896
Luminous Plateau                     2021-01-21 03:45:44  2026-02-27 03:47:30    30654
Lusuco                               2018-02-01 23:43:09  2026-02-27 02:07:42     7939
Lutho                                2019-12-20 16:15:56  2026-02-26 01:20:43    21553
Luxuriant Pond                       2024-08-27 10:40:28  2026-02-24 19:30:06     1060
Mage Island                          2018-01-06 23:01:21  2026-02-27 03:38:29     2532
Maiden Tower                         2024-08-27 23:51:58  2026-02-25 19:55:00     1314
Maltic                               2018-01-04 01:17:11  2026-02-27 03:46:50     5626
Maltic Coast                         2018-01-17 16:09:14  2026-02-27 01:32:47     5469
Maltic Plains                        2018-01-05 10:37:30  2024-08-26 00:32:47     4529
Mangled Lake                         2024-08-28 10:28:12  2026-02-26 16:25:21     2224
Mansion of Insanity                  2018-01-04 02:06:53  2024-08-26 03:57:55     2265
Mantis Nest                          2018-01-03 21:03:58  2026-02-24 00:10:05    16725
Maro Peaks                           2018-01-16 22:42:52  2026-02-25 13:48:02     2055
Mesquis Tower                        2018-01-19 20:00:47  2026-02-26 20:30:47     6001
Meteor Crater                        2018-01-19 20:51:14  2026-02-25 18:35:53     3323
Meteor Trail                         2024-08-28 00:21:32  2026-02-25 20:01:53     1017
Military Base                        2018-02-02 11:47:08  2024-08-24 04:42:11     3599
Military Base Lower                  2018-02-02 12:36:57  2024-08-24 04:44:11     2887
Military Base Upper                  2018-02-02 11:59:58  2024-08-24 04:43:11     2222
Mine Base Plains                     2018-01-04 09:47:44  2026-02-23 20:40:10     9979
Mining Base Camp                     2024-08-26 12:24:46  2026-02-26 02:10:14     2273
Mining Base Lower                    2018-01-04 10:30:57  2024-08-26 02:59:14     4559
Mining Base Upper                    2018-01-04 10:11:04  2024-08-26 02:06:33     5854
Minotaur Barbecue                    2024-08-28 19:12:57  2026-02-26 03:05:52     1156
Molten Heights Portal                2018-01-03 20:22:23  2024-08-26 00:33:12     9957
Molten Passage                       2024-08-30 21:50:51  2026-02-27 01:51:28      608
Molten Reach                         2018-02-01 23:44:48  2026-02-24 22:40:45    17374
Monte's Village                      2024-08-29 03:58:15  2026-02-27 03:46:36     6795
Mount Wynn Inn                       2024-08-28 09:35:55  2026-02-27 01:22:00     1666
Mountain Edge                        2018-01-13 05:00:13  2024-08-26 02:39:45     2359
Mountain Path                        2018-01-17 16:33:04  2024-08-26 02:48:58     1588
Mt. Wynn                             2018-01-19 21:48:07  2021-01-20 20:34:30     3375
Mudspring Orc Camp                   2024-08-28 00:09:09  2026-02-25 18:56:08     1234
Mummy's Tomb                         2018-02-03 19:20:46  2026-02-27 02:48:00     7030
Mushroom Hill                        2021-01-24 03:20:23  2026-02-26 19:54:58     2903
Mycelial Expanse                     2024-08-27 19:01:57  2026-02-27 03:31:12    13575
Myconid Descent                      2024-08-30 14:18:19  2026-02-24 00:40:09     1129
Naga Lake                            2024-08-27 23:40:51  2026-02-25 20:58:21     1249
Nemract                              2024-08-28 16:50:14  2026-02-27 01:39:24     2013
Nemract Cathedral                    2018-01-24 05:19:18  2026-02-27 01:50:35     8972
Nemract Plains East                  2018-02-06 02:10:11  2024-08-26 01:00:06     4911
Nemract Plains West                  2018-01-19 22:11:17  2024-08-26 00:50:33     4897
Nemract Quarry                       2021-01-21 02:30:48  2024-08-26 01:24:09     2052
Nemract Road                         2018-01-10 03:16:19  2024-08-26 00:58:53     6222
Nemract Town                         2018-01-03 21:35:36  2024-08-26 01:13:31     9143
Nesaak                               2024-08-26 13:36:47  2026-02-27 01:50:08     1928
Nesaak Bridge Transition             2018-01-08 21:28:11  2024-08-26 01:30:19     7381
Nesaak Plains Lower North West       2018-02-02 22:38:06  2024-08-26 01:09:44     6452
Nesaak Plains Mid North West         2018-01-12 22:54:29  2024-08-25 20:37:18     4847
Nesaak Plains North East             2018-01-19 19:14:15  2024-08-26 01:26:36     5620
Nesaak Plains South East             2018-01-19 17:40:28  2024-08-26 03:27:39     6155
Nesaak Plains South West             2018-01-21 21:21:26  2024-08-26 01:18:06     6686
Nesaak Plains Upper North West       2018-01-06 18:25:58  2024-08-26 01:07:53     6051
Nesaak Transition                    2018-01-06 15:37:04  2026-02-23 20:50:06     6495
Nesaak Village                       2018-01-30 05:07:45  2024-08-26 01:13:39     7152
Nested Cliffside                     2024-08-30 03:46:52  2026-02-27 01:35:41     1868
Nether Gate                          2018-01-03 21:30:36  2024-08-26 03:12:06     4965
Nether Plains Lower                  2018-01-04 10:45:54  2024-08-26 03:23:08     4390
Nether Plains Upper                  2018-01-07 05:25:35  2024-08-26 03:06:47     5031
Nexus of Light                       2021-01-21 01:42:45  2026-02-27 00:49:58    28651
Nivla Forest                         2018-01-10 06:13:44  2021-01-20 20:24:21     2863
Nivla Forest Edge                    2018-02-17 04:58:56  2021-01-20 18:49:56     3221
Nivla Forest Entrance                2018-01-06 16:38:42  2021-01-19 20:45:23     3610
Nivla Forest Exit                    2018-01-07 02:08:06  2021-01-20 20:30:43     2258
Nivla Woods                          2021-01-21 12:25:51  2026-02-23 20:50:06     3205
Nivla Woods Edge                     2021-01-21 03:15:43  2024-08-26 00:48:36     2023
Nivla Woods Entrance                 2021-01-21 05:07:13  2024-08-26 00:35:58     2149
Nivla Woods Exit                     2021-01-21 15:17:51  2026-02-26 04:41:38     3323
Nodguj Nation                        2018-01-15 03:07:53  2026-02-27 03:46:14     2030
Nomads' Refuge                       2024-08-30 04:11:16  2026-02-27 03:49:48     1416
North Farmers Valley                 2021-01-21 15:34:24  2024-08-26 00:48:55     1677
North Nivla Forest                   2018-01-19 18:02:09  2021-01-20 20:17:58     2141
North Nivla Woods                    2021-01-21 15:21:57  2024-08-26 00:52:12     2122
Ogre Den                             2024-08-27 23:59:24  2026-02-24 22:23:39      980
Old Coal Mine                        2018-02-02 00:01:02  2026-02-24 22:10:03     3623
Old Crossroads                       2024-08-27 11:43:44  2026-02-23 23:50:15     1205
Old Crossroads North                 2021-01-24 03:36:58  2024-08-22 01:08:36     2666
Old Crossroads South                 2021-01-24 03:48:03  2024-08-24 22:55:14     2963
Olux                                 2018-01-03 21:52:18  2026-02-25 21:06:08     4676
Olux Lumberyard                      2024-08-27 23:09:23  2026-02-26 01:31:37     1037
Orc Battlegrounds                    2018-10-30 01:32:43  2026-02-25 19:10:45     2573
Orc Lake                             2018-01-20 05:13:39  2026-02-25 20:45:29     4312
Orc Road                             2018-01-05 01:52:04  2026-02-25 20:45:25     4712
Orphion's Seal                       2018-01-12 09:27:01  2021-01-04 00:16:54      719
Orphion's Seal Upper                 2018-01-15 00:31:10  2021-01-05 10:21:43      675
Otherwordly Monolith                 2021-01-22 09:55:48  2024-08-25 23:22:17    21735
Otherworldly Monolith                2024-08-26 09:12:14  2026-02-27 03:51:23     7984
Outer Aldorei Town                   2024-08-26 16:22:52  2026-02-24 00:10:05     1203
Overrun Docks                        2024-08-26 10:22:12  2026-02-26 16:50:20     1478
Overtaken Outpost                    2024-08-28 10:24:18  2026-02-26 16:23:44     2168
Owl Tribe                            2024-08-27 14:28:56  2026-02-27 02:45:46     2498
Panda Kingdom                        2024-08-30 22:15:34  2026-02-27 02:24:54     1098
Panda Path                           2024-08-30 22:12:16  2026-02-27 02:44:57     1804
Paper Trail                          2024-08-30 01:43:39  2026-02-27 03:11:32    10756
Parasitic Slime Mine                 2024-08-30 22:08:44  2026-02-27 02:14:56      947
Path To Military Base                2018-02-02 11:26:35  2024-08-24 04:39:26     3661
Path To Ozoth's Spire Lower          2021-02-02 03:04:12  2024-08-26 00:42:40     2616
Path To Ozoth's Spire Mid            2021-02-02 03:10:39  2024-08-26 00:50:04     1515
Path To Ozoth's Spire Upper          2021-01-26 23:02:27  2024-08-26 02:54:35     2331
Path To Ozoth’s Spire Lower          2018-02-02 19:02:04  2021-01-17 01:26:22      738
Path To Ozoth’s Spire Mid            2018-01-07 19:39:11  2021-01-17 02:01:47      642
Path To Ozoth’s Spire Upper          2018-01-07 14:59:26  2021-01-17 02:02:51      718
Path To Prison                       2018-01-04 10:09:59  2021-01-19 12:41:12      687
Path To Thanos                       2018-01-07 18:38:38  2024-08-26 00:46:16     3768
Path To The Arch                     2018-01-19 17:12:40  2024-08-26 00:10:59    19237
Path to Ahmsord                      2024-08-26 18:08:35  2026-02-25 12:28:18     1263
Path to Ahmsord Lower                2018-02-01 23:56:37  2024-08-26 01:22:41     2482
Path to Ahmsord Upper                2018-02-01 23:51:01  2024-08-26 01:13:58     2479
Path to Cinfras                      2018-01-03 21:33:56  2026-02-26 20:31:45    12388
Path to Light                        2021-01-22 09:37:38  2026-02-27 03:49:56    30237
Path to Light's Secret               2024-08-29 11:28:39  2026-02-26 02:52:36     1116
Path to Ozoth's Spire                2024-08-30 21:26:01  2026-02-27 01:52:49      723
Path to Talor                        2021-02-09 23:22:44  2026-02-23 23:50:15     2671
Path to Thanos                       2024-10-07 11:36:55  2026-02-26 20:57:01      617
Path to the Dojo                     2024-08-30 22:50:58  2026-02-27 01:25:23      806
Path to the Forgery                  2024-08-27 15:08:55  2026-02-26 03:04:08     1450
Path to the Grootslangs              2024-08-27 23:39:38  2026-02-26 01:48:27     1433
Path to the Penitentiary             2024-08-27 11:55:49  2026-02-26 20:48:33      894
Paths of Sludge                      2019-12-20 16:46:27  2026-02-25 21:11:40    13156
Perilous Grotto                      2024-08-30 21:58:51  2026-02-27 02:00:23      798
Perilous Passage                     2024-08-30 21:55:41  2026-02-27 01:54:11      766
Phinas Farm                          2018-02-01 23:49:55  2024-08-26 02:32:39     4811
Picnic Pond                          2024-08-26 10:16:25  2026-02-25 10:56:08     3197
Pigmen Ravines                       2018-01-21 00:09:12  2026-02-27 03:18:51     5243
Pigmen Ravines Entrance              2018-01-10 17:10:03  2024-08-26 00:11:13     4961
Pine Pillar Forest                   2024-08-30 01:29:42  2026-02-27 03:13:13     8687
Pirate Town                          2018-01-12 21:33:26  2026-02-23 23:30:06     3181
Plains                               2018-01-23 20:20:14  2024-08-26 00:39:54     3790
Plains Coast                         2018-02-01 23:28:08  2024-08-26 00:56:27     5727
Plains Lake                          2018-01-04 09:25:33  2026-02-27 03:13:06     7255
Potato Laboratory                    2018-02-18 02:49:00  2018-03-04 23:23:28        4
Pre-Light Forest Transition          2018-01-24 17:50:37  2024-08-26 03:52:59     2452
Primal Fen                           2021-01-22 09:07:27  2026-02-27 03:48:44    30932
Protector's Pathway                  2024-08-30 22:28:00  2026-02-27 01:34:57      882
Pyroclastic Flow                     2024-09-09 11:10:22  2026-02-27 02:21:41     1229
Qira's Battle Room                   2018-01-05 04:06:05  2021-01-20 11:59:29     4554
Quartz Mines North East              2018-01-26 00:45:26  2024-08-26 02:23:53     2290
Quartz Mines North West              2018-01-25 00:09:53  2024-08-26 01:51:24     2303
Quartz Mines South East              2018-01-25 01:37:46  2024-08-26 02:43:41     1550
Quartz Mines South West              2018-01-25 00:36:23  2024-08-26 01:53:08     2020
Ragni                                2018-02-01 23:39:44  2026-02-27 03:12:59    13495
Ragni Countryside North              2024-08-28 17:54:43  2026-02-26 17:34:13     1807
Ragni Countryside South              2024-08-30 09:17:48  2026-02-27 03:32:06     1858
Ragni East Suburbs                   2018-01-05 09:44:54  2024-08-26 00:21:38     5084
Ragni Main Entrance                  2018-01-05 09:33:21  2026-02-27 03:48:39    11532
Ragni North Entrance                 2018-01-05 10:09:46  2026-02-27 03:37:50     7500
Ragni North Suburbs                  2018-01-05 10:52:36  2024-08-26 01:13:06     4311
Ragni Plains                         2018-01-05 11:05:24  2024-08-26 00:23:16     4398
Ragni South Entrance                 2024-08-30 01:26:58  2026-02-27 03:42:05     2187
Raider's Base Lower                  2018-02-01 23:48:13  2024-08-26 01:55:44     6088
Raider's Base Upper                  2018-02-02 22:54:59  2024-08-26 01:43:17     3885
Raiders' Airbase                     2024-08-26 18:43:50  2026-02-23 04:50:06      731
Raiders' Stronghold                  2024-08-26 18:40:35  2026-02-25 12:33:49      928
Ranol's Farm                         2021-01-21 12:06:09  2026-02-27 01:21:55     2399
Ranol’s Farm                         2018-01-07 20:01:18  2021-01-17 01:23:35     3338
Razed Inn                            2024-08-27 14:17:08  2026-02-27 01:40:02     1670
Red Camp                             2018-01-24 06:15:47  2021-01-19 13:19:07     1081
Regular Island                       2018-02-09 20:50:20  2026-02-27 03:50:37     1360
Relos                                2024-08-26 09:32:29  2026-02-26 16:15:26     3371
Retrofitted Manufactory              2024-08-26 10:24:07  2026-02-25 10:58:21     3171
Riverbank Knoll                      2024-08-28 17:58:17  2026-02-26 17:28:17     1655
Road To Light Forest                 2018-01-31 02:32:49  2024-08-26 02:30:41     1936
Road To Mine                         2018-02-10 08:15:15  2024-08-26 03:50:42     5829
Road to Corruption                   2018-01-11 23:07:23  2020-12-26 14:32:54      587
Road to Elkurn                       2018-01-06 17:34:02  2026-02-26 05:25:43     4839
Road to Light Forest                 2024-10-09 00:07:25  2026-02-26 02:50:02      383
Road to Mine                         2024-09-23 11:57:44  2026-02-26 16:19:39     1859
Road to Time Valley                  2018-01-04 14:37:42  2026-02-23 20:50:06     4248
Rocky Bend                           2024-08-30 22:19:51  2026-02-27 02:05:42      595
Rocky Shore                          2024-08-28 08:45:02  2026-02-27 01:24:39     1740
Rodoroc                              2018-02-06 02:55:42  2026-02-27 02:15:10    13449
Rooster Island                       2018-01-05 23:34:04  2026-02-25 13:39:15     3825
Roots of Corruption                  2024-08-28 09:14:45  2026-02-27 03:27:36     2044
Royal Gate                           2021-01-21 10:27:23  2026-02-26 10:20:30     5477
Ruined Houses                        2018-01-07 15:04:57  2026-02-26 16:40:36     7338
Ruined Prospect                      2024-08-30 21:48:46  2026-02-27 02:47:52     2086
Ruined Villa                         2024-08-28 03:11:45  2026-02-27 02:30:55     2161
Rymek                                2024-08-30 21:45:46  2026-02-27 02:48:55     2058
Rymek East Lower                     2018-01-04 18:59:39  2024-08-26 01:54:33     6587
Rymek East Mid                       2018-01-04 19:27:07  2024-08-26 04:02:28     6779
Rymek East Upper                     2018-01-04 20:34:25  2024-08-26 03:37:39     7494
Rymek West Lower                     2018-01-04 18:48:06  2024-08-26 01:20:38     6705
Rymek West Mid                       2018-01-04 19:58:03  2024-08-26 03:41:06     6406
Rymek West Upper                     2018-01-04 15:38:55  2024-08-26 03:35:37     7061
Sablestone Camp                      2021-01-21 02:26:07  2024-08-26 01:00:34     1639
Sablestone Orc Camp                  2024-08-27 17:51:02  2026-02-25 20:34:30     1354
Sacrifice                            2019-12-20 16:48:19  2021-01-20 14:04:59     8513
Sanctuary Bridge                     2021-01-21 10:53:11  2026-02-27 01:58:00     4517
Sanguine Spider Den                  2024-08-28 00:35:41  2026-02-24 22:10:03     1032
Santa's Hideout                      2018-02-02 00:30:51  2026-02-27 03:36:20     2272
Savannah East Lower                  2018-02-06 01:48:20  2024-08-26 03:20:18     7016
Savannah East Upper                  2018-02-17 00:28:29  2024-08-26 00:20:32     7823
Savannah Plains                      2024-08-26 12:53:58  2026-02-27 03:49:09     1574
Savannah West Lower                  2018-02-06 01:48:52  2024-08-26 03:18:44     6389
Savannah West Upper                  2018-02-08 23:25:34  2024-08-26 01:34:51     7052
Scorched Trail                       2024-08-27 16:32:31  2026-02-27 01:06:09     1773
Scorpion Nest                        2024-08-27 23:45:32  2026-02-25 10:45:45      907
Secluded Ponds                       2024-08-30 21:18:39  2026-02-27 02:16:34      766
Secluded Workshop                    2024-08-27 23:43:53  2026-02-25 10:44:49     1147
Selchar                              2018-01-05 23:20:14  2026-02-25 14:03:09     3452
Shady Shack                          2024-08-27 22:54:40  2026-02-27 00:20:19     1700
Shanjugin’s River                    2018-01-13 13:40:03  2021-01-18 19:48:02      578
Shineridge Orc Camp                  2024-08-27 23:18:24  2026-02-25 20:35:45     1169
Silent Road                          2024-08-26 12:42:14  2026-02-26 01:44:16     1616
Silverbull Headquarters              2024-08-30 01:31:22  2026-02-26 20:50:10     1396
Sinister Forest                      2019-12-20 16:50:05  2026-02-26 01:26:34    14035
Skien's Island                       2024-08-27 11:42:20  2026-02-25 13:54:32      395
Skiens Island                        2018-01-17 21:42:14  2024-08-26 00:34:01     1787
Sky Castle                           2018-02-01 23:51:38  2026-02-24 22:55:03     2713
Sky Falls                            2018-02-01 23:45:26  2026-02-25 12:56:26     5166
Sky Island Ascent                    2018-02-01 23:44:10  2026-02-25 12:49:19     5307
Snail Island                         2018-02-10 03:08:27  2026-02-24 11:30:08     3885
South Farmers Valley                 2021-01-21 06:17:17  2024-08-26 00:46:14     2220
South Nivla Forest                   2018-01-10 06:30:53  2021-01-14 22:22:50     2005
South Nivla Woods                    2021-01-21 04:04:15  2024-08-26 00:41:40     1766
South Pigmen Ravines                 2018-01-20 23:53:26  2024-08-26 00:15:48     4593
Southern Outpost                     2018-10-30 01:56:15  2026-02-27 03:39:12     6388
Spiraling Trees                      2018-01-10 21:06:46  2021-01-17 16:23:01      627
Statue                               2018-02-10 23:26:26  2021-01-11 06:33:43     1736
Stonecave Orc Camp                   2024-08-28 00:15:01  2026-02-25 18:54:57     1292
Sulphuric Hollow                     2024-08-29 04:46:17  2026-02-27 03:41:02     2023
Sunrise Plateau                      2024-08-30 21:40:49  2026-02-27 02:50:52     2465
Sunset Plateau                       2024-08-30 21:39:35  2026-02-27 02:46:50     2423
Sunspark Camp                        2021-01-21 07:57:14  2024-08-26 02:13:27     1617
Sunspark Orc Camp                    2024-08-27 22:59:42  2026-02-25 20:47:07     1512
Swamp Dark Forest Transition Lower   2018-01-04 19:59:08  2024-08-26 00:23:15     1575
Swamp Dark Forest Transition Mid     2018-01-04 17:47:09  2024-08-26 02:09:49     2831
Swamp Dark Forest Transition Upper   2018-01-04 02:57:20  2024-08-26 01:56:17     1706
Swamp East Lower                     2018-02-17 21:33:35  2024-08-26 01:25:18     1731
Swamp East Mid                       2018-02-17 19:28:26  2024-08-26 01:27:36     1601
Swamp East Mid-Upper                 2018-02-13 16:19:57  2024-08-26 01:30:09     1780
Swamp East Upper                     2018-02-11 16:57:15  2024-08-26 01:43:51     1926
Swamp Island                         2018-02-01 23:43:11  2026-02-25 12:44:46     4536
Swamp Lower                          2018-01-12 11:12:18  2024-08-26 02:06:35     2398
Swamp Mountain Arch                  2024-08-27 22:33:50  2026-02-25 20:45:25     1498
Swamp Mountain Base                  2018-01-07 14:13:21  2024-08-26 02:00:57     1852
Swamp Mountain Transition Lower      2018-01-19 05:55:31  2024-08-26 01:41:03     1706
Swamp Mountain Transition Mid        2018-01-12 12:14:21  2024-08-26 01:38:32     1921
Swamp Mountain Transition Mid-Upper  2018-01-12 11:37:07  2024-08-26 01:37:00     2081
Swamp Mountain Transition Upper      2018-01-12 11:27:44  2024-08-26 01:35:50     2152
Swamp Plains Basin                   2018-01-12 10:41:21  2024-08-26 01:59:52     2118
Swamp West Lower                     2018-02-13 16:33:18  2024-08-26 01:26:30     1702
Swamp West Mid                       2018-02-13 16:27:12  2024-08-26 01:28:40     1531
Swamp West Mid-Upper                 2018-01-19 06:07:43  2024-08-26 01:31:23     1723
Swamp West Upper                     2018-02-18 21:56:37  2024-08-26 01:42:15     1828
Talor Cemetery                       2024-08-26 19:46:55  2026-02-24 16:20:08     2041
Taproot Descent                      2018-01-04 00:11:51  2024-08-26 02:38:11     2125
Temple Island                        2018-01-13 05:56:12  2026-02-25 12:38:34     6438
Temple of Legends                    2018-01-04 04:07:15  2026-02-26 21:31:32    25007
Temple of the Lost East              2018-01-07 16:43:04  2024-08-26 01:47:24     1854
Tempo Town                           2024-08-28 09:25:20  2026-02-26 05:26:47     1646
Ternaves                             2018-01-05 12:28:28  2026-02-27 03:49:33     7951
Ternaves Plains Lower                2018-01-06 16:08:46  2024-08-26 03:06:40     5785
Ternaves Plains Upper                2018-01-05 12:10:09  2024-08-26 03:09:16     6842
Ternaves Tunnel                      2024-08-26 12:50:46  2026-02-27 03:50:40     1531
Thanos                               2018-01-04 06:10:28  2026-02-23 23:50:15     9489
Thanos Exit                          2018-01-04 13:01:54  2026-02-27 02:17:06     3220
Thanos Exit Upper                    2018-02-02 17:46:50  2024-08-26 02:10:07     2892
Thanos Underpass                     2024-08-30 21:37:31  2026-02-24 19:50:07      769
Thanos Valley West                   2018-01-17 02:42:47  2024-08-24 04:45:14     2484
The Bear Zoo                         2018-01-03 21:43:56  2024-08-26 00:26:24     3020
The Broken Road                      2019-12-20 16:55:04  2024-08-26 01:08:18     7536
The Forgery                          2024-08-27 15:02:04  2026-02-26 21:06:28     1323
The Gate                             2019-12-20 16:50:57  2026-02-26 01:55:06     9181
The Hive                             2024-08-30 22:52:33  2026-02-27 01:27:32      695
The Shiar                            2024-08-27 10:36:59  2026-02-25 13:50:50      755
The Silent Road                      2019-12-20 16:55:17  2024-08-26 00:39:12     8367
Thesead                              2018-01-04 19:26:03  2026-02-27 01:23:03    12367
Thesead Suburbs                      2018-01-06 15:43:13  2026-02-27 01:18:55     3986
Thesead Underpass                    2024-08-29 11:13:27  2026-02-27 01:26:56      861
Time Valley                          2018-02-20 14:47:17  2026-02-27 02:04:47     5634
Timeworn Arch                        2024-08-30 21:12:45  2026-02-27 03:14:53     9781
Tower of Ascension                   2021-01-21 01:59:51  2026-02-27 02:08:36     5214
Toxic Caves                          2019-12-20 16:51:13  2026-02-25 21:23:38    10089
Toxic Drip                           2019-12-20 16:48:38  2026-02-25 21:08:42     9172
Tree Island                          2018-01-11 01:57:29  2026-02-25 13:42:34     2730
Troll Tower                          2024-08-30 22:26:36  2026-02-27 01:52:29      944
Troll's Challenge                    2024-08-30 21:35:49  2026-02-22 23:40:05      870
Troms                                2024-08-28 23:15:04  2026-02-26 14:46:23     2117
Troms Lake                           2024-08-29 03:56:13  2026-02-27 03:43:14     7269
Trunkstump Goblin Camp               2024-08-28 00:24:51  2026-02-25 20:47:46     1330
Turncoat Turnabout                   2024-08-30 22:06:53  2026-02-27 02:04:05      845
Twain Lake                           2018-01-04 08:50:32  2026-02-27 02:30:30     7416
Twain Mansion                        2018-01-05 16:39:43  2026-02-27 02:40:02     5873
Twisted Housing                      2018-01-04 02:57:54  2026-02-25 19:22:02     3897
Twisted Ridge                        2018-04-27 21:02:23  2026-02-26 20:37:52     3917
Unicorn Trail                        2024-08-29 11:19:41  2026-02-27 03:48:37    11656
Upper Thanos                         2024-08-30 21:30:51  2026-02-22 23:50:06      952
Valley of the Lost                   2018-01-07 17:02:02  2024-08-26 02:31:52     2814
Viscera Pits                         2024-08-27 11:48:15  2026-02-26 21:01:33      990
Viscera Pits East                    2021-02-10 14:03:10  2024-08-26 03:27:46     2116
Viscera Pits West                    2021-02-09 23:31:30  2024-08-22 06:34:50     1567
Void Valley                          2019-12-20 16:51:50  2026-02-25 21:13:24    10884
Volcanic Excavation                  2024-08-26 10:32:37  2026-02-25 21:19:20     1419
Volcanic Isles                       2024-09-09 12:20:42  2026-02-25 13:44:00      510
Volcanic Slope                       2018-01-04 18:12:36  2024-08-26 01:10:46     5900
Volcano Lower                        2018-01-08 00:07:23  2024-08-26 03:11:31     3363
Volcano Upper                        2018-01-08 00:25:12  2024-09-02 00:38:39     2089
Wanderer's Way                       2024-08-30 22:38:40  2026-02-27 02:13:07      628
Waterfall Cave                       2024-08-30 01:51:24  2026-02-26 18:36:25     5482
Wayward Split                        2024-08-30 22:05:33  2026-02-27 02:02:48      834
Webbed Fracture                      2024-08-30 04:18:49  2026-02-26 04:55:17     2366
Weird Clearing                       2024-08-29 01:59:37  2026-02-26 19:51:24     1091
Winding Waters                       2024-08-30 22:13:28  2026-02-27 02:23:14      792
Witching Road                        2024-08-27 23:55:07  2026-02-25 19:57:54     1002
Wizard Tower                         2024-08-30 22:47:21  2026-02-27 01:37:53     1312
Wizard Tower North                   2018-01-08 14:46:14  2024-08-26 01:01:52     2038
Wizard's Warning                     2024-08-30 22:00:14  2026-02-27 01:46:52      648
